date,precipitation,temp_max,temp_min,wind,climate
01-01-2012,0,12.8,5,4.7,cloudy
02-01-2012,10.9,10.6,2.8,4.5,rainy
03-01-2012,0.8,11.7,7.2,2.3,rainy
04-01-2012,20.3,12.2,5.6,4.7,rainy
05-01-2012,1.3,8.9,2.8,6.1,rainy
06-01-2012,2.5,4.4,2.2,2.2,rainy
07-01-2012,0,7.2,2.8,2.3,rainy
08-01-2012,0,10,2.8,2,sunny
09-01-2012,4.3,9.4,5,3.4,rainy
10-01-2012,1,6.1,0.6,3.4,rainy
11-01-2012,0,6.1,-1.1,5.1,sunny
12-01-2012,0,6.1,-1.7,1.9,sunny
13-01-2012,0,5,-2.8,1.3,sunny
14-01-2012,4.1,4.4,0.6,5.3,snowy
15-01-2012,5.3,1.1,-3.3,3.2,snowy
16-01-2012,2.5,1.7,-2.8,5,snowy
17-01-2012,8.1,3.3,0,5.6,snowy
18-01-2012,19.8,0,-2.8,5,snowy
19-01-2012,15.2,-1.1,-2.8,1.6,snowy
20-01-2012,13.5,7.2,-1.1,2.3,snowy
21-01-2012,3,8.3,3.3,8.2,rainy
22-01-2012,6.1,6.7,2.2,4.8,rainy
23-01-2012,0,8.3,1.1,3.6,rainy
24-01-2012,8.6,10,2.2,5.1,rainy
25-01-2012,8.1,8.9,4.4,5.4,rainy
26-01-2012,4.8,8.9,1.1,4.8,rainy
27-01-2012,0,6.7,-2.2,1.4,cloudy
28-01-2012,0,6.7,0.6,2.2,rainy
29-01-2012,27.7,9.4,3.9,4.5,rainy
30-01-2012,3.6,8.3,6.1,5.1,rainy
31-01-2012,1.8,9.4,6.1,3.9,rainy
01-02-2012,13.5,8.9,3.3,2.7,rainy
02-02-2012,0,8.3,1.7,2.6,sunny
03-02-2012,0,14.4,2.2,5.3,sunny
04-02-2012,0,15.6,5,4.3,sunny
05-02-2012,0,13.9,1.7,2.9,sunny
06-02-2012,0,16.1,1.7,5,sunny
07-02-2012,0.3,15.6,7.8,5.3,rainy
08-02-2012,2.8,10,5,2.7,rainy
09-02-2012,2.5,11.1,7.8,2.4,rainy
10-02-2012,2.5,12.8,6.7,3,rainy
11-02-2012,0.8,8.9,5.6,3.4,rainy
12-02-2012,1,8.3,5,1.3,rainy
13-02-2012,11.4,7.2,4.4,1.4,rainy
14-02-2012,2.5,6.7,1.1,3.1,rainy
15-02-2012,0,7.2,0.6,1.8,cloudy
16-02-2012,1.8,7.2,3.3,2.1,rainy
17-02-2012,17.3,10,4.4,3.4,rainy
18-02-2012,6.4,6.7,3.9,8.1,rainy
19-02-2012,0,6.7,2.2,4.7,sunny
20-02-2012,3,7.8,1.7,2.9,rainy
21-02-2012,0.8,10,7.8,7.5,rainy
22-02-2012,8.6,10,2.8,5.9,rainy
23-02-2012,0,8.3,2.8,3.9,sunny
24-02-2012,11.4,6.7,4.4,3.5,rainy
25-02-2012,0,7.2,2.8,6.4,rainy
26-02-2012,1.3,5,-1.1,3.4,snowy
27-02-2012,0,6.7,-2.2,3,sunny
28-02-2012,3.6,6.7,-0.6,4.2,snowy
29-02-2012,0.8,5,1.1,7,snowy
01-03-2012,0,6.1,1.1,3.1,sunny
02-03-2012,2,6.7,3.9,5.1,rainy
03-03-2012,0,12.2,6.7,7,sunny
04-03-2012,0,10.6,6.7,5.6,rainy
05-03-2012,6.9,7.8,1.1,6.2,rainy
06-03-2012,0.5,6.7,0,2.7,snowy
07-03-2012,0,8.9,-1.7,2.7,sunny
08-03-2012,0,15.6,0.6,2.5,sunny
09-03-2012,3.6,9.4,5,2.8,rainy
10-03-2012,10.4,7.2,6.1,3.4,rainy
11-03-2012,13.7,6.7,2.8,5.8,rainy
12-03-2012,19.3,8.3,0.6,6.2,snowy
13-03-2012,9.4,5.6,0.6,5.3,snowy
14-03-2012,8.6,7.8,1.1,4.7,rainy
15-03-2012,23.9,11.1,5.6,5.8,snowy
16-03-2012,8.4,8.9,3.9,5.1,rainy
17-03-2012,9.4,10,0.6,3.8,snowy
18-03-2012,3.6,5,-0.6,2.7,rainy
19-03-2012,2,7.2,-1.1,3,rainy
20-03-2012,3.6,7.8,2.2,6.4,rainy
21-03-2012,1.3,8.9,1.1,2.5,rainy
22-03-2012,4.1,10,1.7,2.1,rainy
23-03-2012,0,12.2,0.6,2.8,sunny
24-03-2012,0,15,3.3,5.2,sunny
25-03-2012,0,13.3,2.2,2.7,rainy
26-03-2012,0,12.8,6.1,4.3,cloudy
27-03-2012,4.8,14.4,6.7,3.8,rainy
28-03-2012,1.3,10.6,7.2,5.9,rainy
29-03-2012,27.4,10,6.1,4.4,rainy
30-03-2012,5.6,9.4,5,4.7,rainy
31-03-2012,13.2,10,2.8,3.4,rainy
01-04-2012,1.5,8.9,4.4,6.8,rainy
02-04-2012,0,16.7,4.4,3.1,sunny
03-04-2012,1.5,11.7,3.3,3.1,rainy
04-04-2012,0,10.6,2.8,2.1,sunny
05-04-2012,4.6,9.4,2.8,1.8,snowy
06-04-2012,0.3,11.1,3.3,2.6,rainy
07-04-2012,0,16.1,1.7,4.3,sunny
08-04-2012,0,21.1,7.2,4.1,sunny
09-04-2012,0,20,6.1,2.1,sunny
10-04-2012,0,17.8,8.9,3.2,rainy
11-04-2012,2.3,11.1,7.2,2.6,rainy
12-04-2012,0.5,13.9,5.6,2.6,rainy
13-04-2012,0,15,3.9,4,cloudy
14-04-2012,0,15.6,3.3,3,sunny
15-04-2012,0,16.1,7.2,2.9,rainy
16-04-2012,8.1,13.3,6.7,5.8,rainy
17-04-2012,1.8,10,4.4,2,rainy
18-04-2012,1.8,13.3,7.2,3.9,rainy
19-04-2012,10.9,13.9,5,2.6,rainy
20-04-2012,6.6,13.3,6.7,2.7,rainy
21-04-2012,0,20,4.4,2.3,sunny
22-04-2012,0,23.3,8.3,2.6,rainy
23-04-2012,0,21.7,8.9,3.5,sunny
24-04-2012,4.3,13.9,10,2.8,rainy
25-04-2012,10.7,16.7,8.9,2.6,rainy
26-04-2012,3.8,13.9,6.7,5.2,rainy
27-04-2012,0.8,13.3,6.1,4.8,rainy
28-04-2012,0,16.1,8.3,2.5,cloudy
29-04-2012,4.3,15.6,8.9,1.6,rainy
30-04-2012,4.3,12.8,7.2,8,rainy
01-05-2012,0.5,11.7,6.1,6.4,rainy
02-05-2012,0.5,13.3,5.6,2.5,rainy
03-05-2012,18.5,11.1,7.2,3.4,rainy
04-05-2012,1.8,12.2,6.1,4.6,rainy
05-05-2012,0,13.3,5,2.3,sunny
06-05-2012,0,17.8,5,2.4,sunny
07-05-2012,0,23.9,6.1,2.2,sunny
08-05-2012,0,18.3,9.4,3,sunny
09-05-2012,0,13.3,6.7,3.9,rainy
10-05-2012,0,14.4,3.9,3,sunny
11-05-2012,0,18.3,4.4,4.3,sunny
12-05-2012,0,24.4,6.7,3.4,sunny
13-05-2012,0,25.6,9.4,4.2,sunny
14-05-2012,0,26.7,12.8,3.8,sunny
15-05-2012,0,24.4,9.4,4.1,cloudy
16-05-2012,0,19.4,9.4,3.5,sunny
17-05-2012,0,17.8,6.7,2.9,rainy
18-05-2012,0,15.6,7.8,3.1,rainy
19-05-2012,0,19.4,7.2,1.5,sunny
20-05-2012,6.4,14.4,11.7,1.3,rainy
21-05-2012,14,16.7,10,4,rainy
22-05-2012,6.1,12.8,8.9,4.8,rainy
23-05-2012,0.3,14.4,8.9,6.3,rainy
24-05-2012,0,17.2,8.9,3.3,rainy
25-05-2012,0,22.2,8.9,3.1,rainy
26-05-2012,0,22.2,8.9,3.6,sunny
27-05-2012,0,17.2,11.7,3.7,sunny
28-05-2012,0,16.7,10,3.4,rainy
29-05-2012,0,16.1,7.8,1.8,sunny
30-05-2012,0.3,18.9,11.1,1.5,rainy
31-05-2012,3.8,17.8,12.2,2.7,rainy
01-06-2012,6.6,20,12.8,3.7,rainy
02-06-2012,0.3,18.9,10.6,3.7,rainy
03-06-2012,0,17.2,9.4,2.9,sunny
04-06-2012,1.3,12.8,8.9,3.1,rainy
05-06-2012,16,13.3,8.3,3.3,rainy
06-06-2012,0,16.1,6.1,3.4,sunny
07-06-2012,16.5,16.1,8.9,3.5,rainy
08-06-2012,1.5,15,8.3,3,rainy
09-06-2012,0,17.2,8.3,4.7,rainy
10-06-2012,0,18.9,10,2.9,sunny
11-06-2012,0,23.3,10,1.8,rainy
12-06-2012,0.8,18.3,12.8,3.9,rainy
13-06-2012,0,16.1,11.1,4.3,sunny
14-06-2012,0,17.2,10,2.7,sunny
15-06-2012,0,22.2,9.4,1.7,sunny
16-06-2012,0,21.1,15,4.1,rainy
17-06-2012,0,18.9,11.7,6.4,sunny
18-06-2012,3,17.2,10,3.8,rainy
19-06-2012,1,19.4,10,3,rainy
20-06-2012,0,24.4,10,3,sunny
21-06-2012,0,23.9,11.7,2.1,sunny
22-06-2012,15.7,13.9,11.7,1.9,rainy
23-06-2012,8.6,15.6,9.4,2.5,rainy
24-06-2012,0,19.4,9.4,2,cloudy
25-06-2012,0.5,19.4,11.1,3.1,rainy
26-06-2012,0,18.3,10.6,3.4,rainy
27-06-2012,0,22.8,8.9,1.8,sunny
28-06-2012,0,22.2,11.7,2.5,rainy
29-06-2012,0.3,21.7,15,1.9,rainy
30-06-2012,3,20,13.3,2.4,rainy
01-07-2012,0,20,12.2,2.3,rainy
02-07-2012,2,18.9,11.7,2.1,rainy
03-07-2012,5.8,18.3,10.6,6,rainy
04-07-2012,0,20.6,9.4,3.8,sunny
05-07-2012,0,24.4,10.6,3.1,cloudy
06-07-2012,0,25,11.1,2.1,sunny
07-07-2012,0,26.7,12.8,3.8,sunny
08-07-2012,0,28.3,14.4,2.8,rainy
09-07-2012,1.5,25,12.8,2,rainy
10-07-2012,0,23.9,11.1,2.3,cloudy
11-07-2012,0,27.8,13.3,2.9,foggy
12-07-2012,0,25.6,13.3,2.7,cloudy
13-07-2012,0.5,23.3,13.9,2.2,rainy
14-07-2012,0,25,15,2.2,rainy
15-07-2012,0,18.9,13.3,3.8,rainy
16-07-2012,0.3,26.1,13.3,2.5,rainy
17-07-2012,0,21.7,15,2.6,sunny
18-07-2012,0,21.1,14.4,2.9,sunny
19-07-2012,0,25,14.4,2.2,sunny
20-07-2012,15.2,19.4,13.9,4,rainy
21-07-2012,0,23.9,13.9,2.3,sunny
22-07-2012,1,20.6,12.2,3.9,rainy
23-07-2012,0,18.9,11.1,3.3,rainy
24-07-2012,0,23.3,12.2,4.3,sunny
25-07-2012,0,26.7,12.8,2.6,sunny
26-07-2012,0,25.6,12.8,2.2,cloudy
27-07-2012,0,18.9,13.9,2.8,cloudy
28-07-2012,0,22.2,13.3,1.7,cloudy
29-07-2012,0,22.8,15,2,sunny
30-07-2012,0,19.4,13.3,3,sunny
31-07-2012,0,22.8,13.9,2.8,sunny
01-08-2012,0,23.9,13.3,2.2,cloudy
02-08-2012,0,23.3,12.2,2.5,sunny
03-08-2012,0,27.2,12.8,3.9,sunny
04-08-2012,0,33.9,16.7,3.7,sunny
05-08-2012,0,33.9,17.8,1.9,sunny
06-08-2012,0,28.3,15.6,2.5,rainy
07-08-2012,0,21.1,15,2.6,cloudy
08-08-2012,0,22.2,15,3.1,sunny
09-08-2012,0,24.4,14.4,3.8,cloudy
10-08-2012,0,25.6,12.2,2.3,sunny
11-08-2012,0,28.3,13.3,2.5,sunny
12-08-2012,0,30.6,15,3,sunny
13-08-2012,0,30.6,15,2.8,sunny
14-08-2012,0,28.9,13.9,2.8,sunny
15-08-2012,0,31.1,16.7,4.7,sunny
16-08-2012,0,34.4,18.3,2.8,sunny
17-08-2012,0,32.8,16.1,1.8,sunny
18-08-2012,0,21.7,14.4,3,cloudy
19-08-2012,0,23.3,15,2.7,cloudy
20-08-2012,0,25.6,15,1.9,sunny
21-08-2012,0,23.3,13.3,3,rainy
22-08-2012,0,22.2,13.3,2.3,sunny
23-08-2012,0,21.1,13.9,3.8,sunny
24-08-2012,0,22.2,10,3.3,sunny
25-08-2012,0,26.1,11.7,3.2,sunny
26-08-2012,0,21.1,12.2,3.4,sunny
27-08-2012,0,23.9,13.3,1.8,sunny
28-08-2012,0,22.8,12.2,3.2,sunny
29-08-2012,0,22.8,13.3,2.4,sunny
30-08-2012,0,22.8,12.8,1.9,sunny
31-08-2012,0,22.2,10.6,2.9,sunny
01-09-2012,0,21.7,10.6,2.1,sunny
02-09-2012,0,21.1,10,2,sunny
03-09-2012,0,22.8,12.8,3.3,sunny
04-09-2012,0,24.4,11.1,3.1,sunny
05-09-2012,0,26.1,11.7,2.6,sunny
06-09-2012,0,28.3,14.4,4.2,sunny
07-09-2012,0,32.2,13.3,3.1,sunny
08-09-2012,0,25,13.3,3,sunny
09-09-2012,0.3,18.9,13.9,5,rainy
10-09-2012,0.3,20,11.7,3.9,rainy
11-09-2012,0,20,8.9,4.2,sunny
12-09-2012,0,22.2,10,5.6,sunny
13-09-2012,0,27.8,11.7,3.6,sunny
14-09-2012,0,26.1,11.1,1.5,sunny
15-09-2012,0,22.2,11.1,1.9,sunny
16-09-2012,0,24.4,9.4,2.3,sunny
17-09-2012,0,27.8,11.7,2.2,foggy
18-09-2012,0,27.8,11.7,1.4,sunny
19-09-2012,0,23.9,11.7,1.9,cloudy
20-09-2012,0,19.4,10,2.5,cloudy
21-09-2012,0,16.1,12.8,2.1,cloudy
22-09-2012,0.3,19.4,11.7,1.1,rainy
23-09-2012,0,19.4,10,1.4,foggy
24-09-2012,0,21.1,10,1.8,foggy
25-09-2012,0,19.4,11.1,1.7,sunny
26-09-2012,0,19.4,9.4,1.7,cloudy
27-09-2012,0,22.8,10,1.7,cloudy
28-09-2012,0,25,12.2,1.1,rainy
29-09-2012,0,20.6,12.2,4.3,sunny
30-09-2012,0,21.1,7.8,3.1,sunny
01-10-2012,0,23.3,8.9,3,sunny
02-10-2012,0,17.8,10,4.1,sunny
03-10-2012,0,18.9,7.8,7.3,sunny
04-10-2012,0,18.9,8.3,6.5,sunny
05-10-2012,0,21.7,8.9,5.7,sunny
06-10-2012,0,23.9,7.8,5.1,sunny
07-10-2012,0,23.9,7.8,1.3,sunny
08-10-2012,0,21.1,7.8,1.9,sunny
09-10-2012,0,16.1,8.9,1.6,cloudy
10-10-2012,0,12.2,8.3,1.4,cloudy
11-10-2012,0,13.9,7.2,1.3,cloudy
12-10-2012,2,13.9,8.9,4.6,rainy
13-10-2012,4.8,15.6,12.2,3.9,rainy
14-10-2012,16.5,17.8,13.3,3.4,rainy
15-10-2012,7.9,17.2,11.1,4.6,rainy
16-10-2012,0,16.1,8.3,5.5,sunny
17-10-2012,0,14.4,6.1,1.6,sunny
18-10-2012,20.8,17.8,6.7,2,rainy
19-10-2012,4.8,15,9.4,5.3,rainy
20-10-2012,0.5,11.1,6.1,5.7,rainy
21-10-2012,6.4,11.7,4.4,2.7,rainy
22-10-2012,8.9,7.8,3.3,2.6,rainy
23-10-2012,0,11.1,5.6,3,rainy
24-10-2012,7.1,11.7,6.1,2.1,rainy
25-10-2012,0,11.7,6.7,1.5,sunny
26-10-2012,1.5,11.1,7.2,2.5,rainy
27-10-2012,23.1,14.4,9.4,5.1,rainy
28-10-2012,6.1,14.4,10,3.8,rainy
29-10-2012,10.9,15.6,10,4.9,rainy
30-10-2012,34.5,15,12.2,2.8,rainy
31-10-2012,14.5,15.6,11.1,2.7,rainy
01-11-2012,9.7,15,10.6,3,rainy
02-11-2012,5.6,15,10.6,1,rainy
03-11-2012,0.5,15.6,11.1,3.6,rainy
04-11-2012,8.1,17.8,12.8,3.8,rainy
05-11-2012,0.8,15,7.8,4,rainy
06-11-2012,0.3,12.8,6.7,3.5,rainy
07-11-2012,0,12.2,3.9,3.4,rainy
08-11-2012,0,10,1.1,3.4,rainy
09-11-2012,0,8.9,1.1,2,rainy
10-11-2012,0,7.8,-0.6,2.2,sunny
11-11-2012,15.2,8.9,1.1,3,rainy
12-11-2012,3.6,12.8,6.1,3,rainy
13-11-2012,5.3,11.1,7.8,2.5,rainy
14-11-2012,0.8,11.1,5,2.6,rainy
15-11-2012,0,9.4,2.8,2.4,cloudy
16-11-2012,5.6,9.4,2.2,1.6,rainy
17-11-2012,6.1,12.2,6.1,5.3,rainy
18-11-2012,7.9,10,6.1,4.9,rainy
19-11-2012,54.1,13.3,8.3,6,rainy
20-11-2012,3.8,11.1,7.2,4.2,rainy
21-11-2012,11.2,8.3,3.9,5.5,rainy
22-11-2012,0,8.9,2.8,1.5,rainy
23-11-2012,32,9.4,6.1,2.4,rainy
24-11-2012,0,8.9,3.9,1.2,rainy
25-11-2012,0,8.3,1.1,3.6,cloudy
26-11-2012,0,9.4,1.7,3.8,foggy
27-11-2012,0,10,1.7,1.5,sunny
28-11-2012,2.8,9.4,2.2,2.9,rainy
29-11-2012,1.5,12.8,7.8,4.2,rainy
30-11-2012,35.6,15,7.8,4.6,rainy
01-12-2012,4.1,13.3,8.3,5.5,rainy
02-12-2012,19.6,8.3,7.2,6.2,rainy
03-12-2012,13,9.4,7.2,4.4,rainy
04-12-2012,14.2,11.7,7.2,6.2,rainy
05-12-2012,1.5,8.9,4.4,5,rainy
06-12-2012,1.5,7.2,6.1,5.1,rainy
07-12-2012,1,7.8,3.3,4.6,rainy
08-12-2012,0,6.7,3.3,2,sunny
09-12-2012,1.5,6.7,2.8,2.1,rainy
10-12-2012,0.5,7.2,5.6,1.8,rainy
11-12-2012,3,7.8,5.6,4.5,rainy
12-12-2012,8.1,6.7,4.4,2,rainy
13-12-2012,2.3,7.2,3.3,2.8,rainy
14-12-2012,7.9,6.1,1.1,1.7,rainy
15-12-2012,5.3,4.4,0.6,5.1,snowy
16-12-2012,22.6,6.7,3.3,5.5,snowy
17-12-2012,2,8.3,1.7,9.5,rainy
18-12-2012,3.3,3.9,0.6,5.3,snowy
19-12-2012,13.7,8.3,1.7,5.8,snowy
20-12-2012,13.2,7.2,0.6,3.7,rainy
21-12-2012,1.8,8.3,-1.7,1.7,rainy
22-12-2012,3.3,8.3,3.9,3.5,rainy
23-12-2012,6.6,7.2,3.3,2.5,rainy
24-12-2012,0.3,5.6,2.8,2.8,rainy
25-12-2012,13.5,5.6,2.8,4.2,snowy
26-12-2012,4.6,6.7,3.3,4.9,rainy
27-12-2012,4.1,7.8,3.3,3.2,rainy
28-12-2012,0,8.3,3.9,1.7,rainy
29-12-2012,1.5,5,3.3,1.7,rainy
30-12-2012,0,4.4,0,1.8,cloudy
31-12-2012,0,3.3,-1.1,2,cloudy
01-01-2013,0,5,-2.8,2.7,sunny
02-01-2013,0,6.1,-1.1,3.2,sunny
03-01-2013,4.1,6.7,-1.7,3,rainy
04-01-2013,2.5,10,2.2,2.8,rainy
05-01-2013,3,6.7,4.4,3.1,rainy
06-01-2013,2,7.2,2.8,3,rainy
07-01-2013,2.3,10,4.4,7.3,rainy
08-01-2013,16.3,11.7,5.6,6.3,rainy
09-01-2013,38.4,10,1.7,5.1,rainy
10-01-2013,0.3,3.3,-0.6,2.1,snowy
11-01-2013,0,2.8,-2.8,1.9,cloudy
12-01-2013,0,2.8,-3.9,2,sunny
13-01-2013,0,2.2,-4.4,1.5,sunny
14-01-2013,0,3.3,-2.2,1.3,sunny
15-01-2013,0,6.7,-0.6,2.3,sunny
16-01-2013,0,6.1,-3.9,1.8,cloudy
17-01-2013,0,3.9,-2.8,1,cloudy
18-01-2013,0,3.3,-1.1,1.3,cloudy
19-01-2013,0,1.1,-0.6,1.9,cloudy
20-01-2013,0,3.3,-0.6,2.1,cloudy
21-01-2013,0,2.2,-1.7,1.1,cloudy
22-01-2013,0,3.3,-1.7,0.6,cloudy
23-01-2013,5.1,7.2,2.2,3.1,rainy
24-01-2013,5.8,7.2,1.1,2.6,rainy
25-01-2013,3,10.6,2.8,2.1,rainy
26-01-2013,2.3,8.3,3.9,4.5,rainy
27-01-2013,1.8,5.6,3.9,4.5,rainy
28-01-2013,7.9,6.1,3.3,3.2,rainy
29-01-2013,4.3,8.3,5,3.9,rainy
30-01-2013,3.6,8.9,6.7,3.9,rainy
31-01-2013,3,9.4,7.2,4,rainy
01-02-2013,0.3,11.7,5,2.9,rainy
02-02-2013,0,6.1,2.8,2,cloudy
03-02-2013,2.3,8.9,2.8,2.9,rainy
04-02-2013,0,10.6,6.7,2.6,rainy
05-02-2013,3.3,10,6.7,5.1,rainy
06-02-2013,1,10.6,6.1,4.5,rainy
07-02-2013,1.3,9.4,3.3,4.1,rainy
08-02-2013,0,7.8,2.2,1.3,sunny
09-02-2013,0.3,8.3,4.4,1.3,rainy
10-02-2013,0,8.9,1.7,2,cloudy
11-02-2013,0.3,8.3,4.4,1.4,rainy
12-02-2013,1,11.1,7.2,5.6,rainy
13-02-2013,2.3,9.4,7.2,4.1,rainy
14-02-2013,1,9.4,5.6,2.2,rainy
15-02-2013,0,13.3,5,2.4,cloudy
16-02-2013,0,11.1,3.9,5.6,rainy
17-02-2013,0,9.4,4.4,3.4,rainy
18-02-2013,0,7.8,3.9,1.9,rainy
19-02-2013,0,10.6,1.7,3.4,sunny
20-02-2013,1.5,7.8,1.1,2.1,rainy
21-02-2013,0.5,6.7,3.9,6.2,rainy
22-02-2013,9.4,7.8,3.9,8.1,rainy
23-02-2013,0.3,10,3.9,4.6,rainy
24-02-2013,0,8.9,5,5.5,rainy
25-02-2013,2.3,10.6,3.3,7.1,rainy
26-02-2013,0.5,8.9,3.9,3.8,rainy
27-02-2013,4.6,10,4.4,1.8,rainy
28-02-2013,8.1,11.7,6.7,3.8,rainy
01-03-2013,4.1,15,11.1,5.4,rainy
02-03-2013,0.8,13.9,5,4.5,rainy
03-03-2013,0,11.1,2.2,2.8,sunny
04-03-2013,0,13.3,0,3.9,sunny
05-03-2013,0,9.4,6.1,2.4,rainy
06-03-2013,11.9,7.2,5,4.1,rainy
07-03-2013,7.4,12.2,5,2.5,rainy
08-03-2013,0,11.7,2.2,2.6,cloudy
09-03-2013,0,12.8,1.1,1.3,foggy
10-03-2013,0.8,7.8,3.9,1.6,rainy
11-03-2013,1.3,10.6,6.1,1.1,rainy
12-03-2013,2,12.8,10,5.7,rainy
13-03-2013,2.3,11.7,9.4,3.7,rainy
14-03-2013,2.8,11.7,9.4,3,rainy
15-03-2013,0,14.4,8.9,4.3,rainy
16-03-2013,4.3,10.6,4.4,6.4,rainy
17-03-2013,0,8.9,3.9,6.1,sunny
18-03-2013,0,11.7,3.9,5.9,rainy
19-03-2013,11.7,12.8,1.7,3.4,rainy
20-03-2013,9.9,11.1,4.4,7.6,rainy
21-03-2013,8.1,10,2.2,4.9,snowy
22-03-2013,0,9.4,0.6,2.2,sunny
23-03-2013,0,10,1.1,2.6,sunny
24-03-2013,0,12.2,0.6,2.1,sunny
25-03-2013,0,16.7,4.4,2.8,sunny
26-03-2013,0,16.7,6.1,1.7,sunny
27-03-2013,0.3,13.3,7.2,1.6,rainy
28-03-2013,2,16.1,8.3,1.3,rainy
29-03-2013,0,18.3,7.8,2.5,rainy
30-03-2013,0,20,5.6,4.4,cloudy
31-03-2013,0,20.6,6.7,2.9,sunny
01-04-2013,0,17.2,8.3,3.6,sunny
02-04-2013,0,13.9,8.9,2.2,sunny
03-04-2013,0,16.7,7.8,1.6,sunny
04-04-2013,8.4,14.4,10,3,rainy
05-04-2013,18.5,13.9,10,5.6,rainy
06-04-2013,12.7,12.2,7.2,5,rainy
07-04-2013,39.1,8.3,5,3.9,rainy
08-04-2013,0.8,13.3,6.1,3.1,rainy
09-04-2013,0,12.2,6.1,2.4,sunny
10-04-2013,9.4,15,8.9,6.4,rainy
11-04-2013,1.5,12.2,6.7,3.8,rainy
12-04-2013,9.7,7.8,4.4,4.6,rainy
13-04-2013,9.4,10.6,3.3,5.7,rainy
14-04-2013,5.8,12.8,4.4,2.3,rainy
15-04-2013,0,13.9,4.4,2.4,foggy
16-04-2013,0.3,13.9,3.3,2.6,rainy
17-04-2013,0,15,3.9,3.3,cloudy
18-04-2013,5.3,11.7,6.7,4,rainy
19-04-2013,20.6,13.3,9.4,4.9,rainy
20-04-2013,0,13.9,8.3,5.8,sunny
21-04-2013,3.3,12.2,6.7,4.1,rainy
22-04-2013,0,16.1,5,4.3,sunny
23-04-2013,0,17.8,3.9,2.8,sunny
24-04-2013,0,21.1,6.1,3,sunny
25-04-2013,0,21.7,6.7,1.1,sunny
26-04-2013,0,20.6,8.3,2.2,foggy
27-04-2013,0,13.9,10.6,5.9,sunny
28-04-2013,1,15,9.4,5.2,rainy
29-04-2013,3.8,13.9,6.7,4.2,rainy
30-04-2013,0,12.8,4.4,2.4,sunny
